row_key,review_id,official_scenic_id,scenic_name,review_time,rating,review_text,llm_issue_tags,llm_reason,prompt_version,issue_tag_count,issue_flag,tag_staff_service,tag_service_process,tag_guide_explanation,tag_queue_wait,tag_reservation_entry,tag_ticket_price,tag_traffic_access,tag_facility_hygiene,tag_crowding,tag_commercialization,tag_platform_transaction
BJ20_01__642304867,642304867,BJ20_01,故宫博物院,2026-02-17,5.0,才说王导游普通话流利标准从故事加建筑规格颜色去介绍了解故宫收获颇多体验感好。,,评论整体为正向体验描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642316039,642316039,BJ20_01,故宫博物院,2026-02-17,5.0,超预期的故宫研学！秀才说研学营的苏酥老师带着孩子们沉浸式学习体验，让课本知识活了起来，孩子听得津津有味，不仅增长见识，更激发了对历史文化的浓厚兴趣。,,整体是正向体验描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642348638,642348638,BJ20_01,故宫博物院,2026-02-17,4.0,"历史漫真是太棒了,我们买了三角洲的票。令人不快的是,我们没有立即了解英语的入口和语音导游在哪里,但是通过护照检查后,在萨姆市的福音可以以40元的价格购买语音导游,像是你所在的建筑物上闪亮点的播放器,可没有找到冰淋,耳机也在出口,如果你通过耳机的传送,开始像商店一样大声。",guide_explanation|commercialization,评论抱怨语音导游位置不明确、购买流程不便，且出口处商店大声播放造成干扰，涉及讲解导览质量和商业化干扰。,issue_only_v1,2,1,0,0,1,0,0,0,0,0,0,1,0
BJ20_01__642412807,642412807,BJ20_01,故宫博物院,2026-02-17,5.0,秀才说王导很棒👍👍导游态度和蔼可亲，整体普通话标准介绍到位可以选择,,评论整体为正面评价，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642453379,642453379,BJ20_01,故宫博物院,2026-02-17,5.0,"导游非常完美,非常有趣和快速,并向我们展示了所有必不可少的东西!",,整体是正向体验，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642487028,642487028,BJ20_01,故宫博物院,2026-02-17,3.0,讲的还可以，就是服务太差了，留的助理电话一点用没有，态度还贼差劲,staff_service,核心抱怨是助理电话服务态度差、没有帮助，属于现场人员服务态度问题。,issue_only_v1,1,1,1,0,0,0,0,0,0,0,0,0,0
BJ20_01__642527943,642527943,BJ20_01,故宫博物院,2026-02-17,5.0,为秀才说导游张树强点赞，他全程讲解热情，服务周到，让我们对故宫有了深入了解，值得推荐。,,评论为对导游服务的正面赞扬，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642568221,642568221,BJ20_01,故宫博物院,2026-02-17,5.0,这次的秀才说温静导游全程用精湛的解说为我们讲解了故宫的故事，声情并茂，大人孩子都沉浸其中。[强][强][强],,整体是正向体验，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642757998,642757998,BJ20_01,故宫博物院,2026-02-18,5.0,四方红墙里，时间总比别处要慢些，一上午可以逛完的故宫，又有多少人一辈子走不出去？紫禁城红，故宫红，一砖一瓦一壶酒，两朝三世浩如烟，故宫往事凭谁问？无恙是朱颜。朱门金殿乱人眼，千回百转终有尽，秀才说团队的燕燕导游路线安排合理，讲解详细且非常专业。故宫博物院古称紫禁城，紫禁城故宫的一砖一瓦，见证了紫禁城600年的沧桑，沧海桑田,,评论整体为正向体验和文学性描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642783380,642783380,BJ20_01,故宫博物院,2026-02-18,5.0,秀才说王导声音好听，温柔耐心，还帮家庭拍照，情绪价值拉满，很棒👍🏻,,评论整体为正向体验，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642787496,642787496,BJ20_01,故宫博物院,2026-02-18,5.0,秀才说的金导非常热情，讲解的有趣细致，行程安排合理，小朋友非常喜欢，收获很大,,整体是正向体验，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_01__642804807,642804807,BJ20_01,故宫博物院,2026-02-18,5.0,李岩老师讲的非常有意思，讲的内容很有趣，人也很亲切。非常不错,,评论整体是正向体验，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
