experiment_name,available_after_lda_filter_n,sample_target_n,sample_actual_n,sample_rule,low_freq_min_token_freq,lda_min_token_count,sample_rank_within_scenic,slot_id,slot_rank,category_name,requested_name,requested_level,selected_name,selected_level,selected_from,selected_reason,poi_id,scenic_name,comment_id,review_time,rating,review_text,ip_location,tag_recommend,like_count,reply_count,image_count,user_identity,source_platform,crawl_time,page_index,page_order,source_file_name,source_total_raw_n,valid_time_rating_n,after_short_text_filter_n,text_char_len,rating_bucket,token_count,tokens_text,tokens_pipe,sample_quota_in_bucket,sample_rank_within_rating_bucket,review_id,official_scenic_id,row_key
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,124,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,212657957,2025-05-22,5.0,这次安排父母来北京旅游，第一站就是颐和园-圆明园。报团的导游讲解的很好，爸妈很满意。,重庆,,0,0,0,,携程,2026-04-21 20:38:59,174,1736,颐和园.csv,2719,2719,2530,42,5,10,这次 安排 父母 第一站 圆明园 报团 导游 讲解 爸妈 满意,这次|安排|父母|第一站|圆明园|报团|导游|讲解|爸妈|满意,249,105,212657957,BJ20_02,BJ20_02__212657957
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,125,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,213192176,2025-05-29,5.0,环境优美，放松散心好地方，现在很多地方公园也做得很好，只是这里多些故事。,浙江,,0,0,0,,携程,2026-04-21 20:38:58,172,1714,颐和园.csv,2719,2719,2530,36,5,6,环境优美 放松 散心 现在 只是 故事,环境优美|放松|散心|现在|只是|故事,249,106,213192176,BJ20_02,BJ20_02__213192176
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,126,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,213495080,2025-06-01,5.0,颐和园很大所以虽然赶上节假日但是游玩的时候并没有因为人多而感到拥挤。加上孙导的讲解很生动和浅显易懂，哪怕是同行的三年级的孩子和对历史不感冒的长辈听也并没有感到枯燥乏味反而时常加入探讨，很推荐全家老小一起出动的家庭游选择孙导的讲解。,北京,,0,0,2,,携程,2026-04-21 20:38:58,171,1703,颐和园.csv,2719,2719,2530,115,5,29,很大 虽然 赶上 节假日 游玩 人多 感到 拥挤 加上 孙导 讲解 生动 浅显易懂 哪怕 同行 孩子 历史 长辈 感到 反而 时常 加入 探讨 推荐 一起 家庭 选择 孙导 讲解,很大|虽然|赶上|节假日|游玩|人多|感到|拥挤|加上|孙导|讲解|生动|浅显易懂|哪怕|同行|孩子|历史|长辈|感到|反而|时常|加入|探讨|推荐|一起|家庭|选择|孙导|讲解,249,107,213495080,BJ20_02,BJ20_02__213495080
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,131,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,214395210,2025-06-11,5.0,颐和园游记 周末，我来到了北京的颐和园，开启了一场穿越古今的旅程。 刚踏入颐和园，就被眼前的美景深深吸引。这里是皇家园林的典范，湖光山色，美不胜收。首先映入眼帘的是昆明湖，湖水波光粼粼，湖面上几只游船缓缓驶过，留下一道道涟漪。湖边的垂柳随风轻摆，仿佛在欢迎每一位游客。 沿着湖边漫步，来到了长廊。长廊宛如一条彩带，蜿蜒曲折，廊内绘满了精美的彩绘，每一幅都讲述着一个古老的故事。漫步其中，仿佛穿越了时空，回到了那个辉煌的年代。 从长廊出来，便是万寿山。拾级而上，佛香阁巍然屹立在山顶，金碧辉煌，气势恢宏。站在佛香阁前，俯瞰整个颐和园，昆明湖如同一面巨大的镜子，西堤六桥宛如一条玉带，远处的玉泉山和西山连绵起伏，景色尽收眼底。 下山后，我来到了石舫。这艘石舫造型精美，仿佛随时都能扬帆起航。坐在石舫边，微风拂面，湖水轻拍着岸边，让人心旷神怡。 颐和园的美，不仅在于它的自然风光，更在于它深厚的历史文化底蕴。这里每一处景致都承载着无数的故事，让人流连忘返。,北京,,1,0,4,,携程,2026-04-21 20:38:55,167,1662,颐和园.csv,2719,2719,2530,425,5,112,游记 周末 来到 开启 一场 穿越 古今 旅程 踏入 眼前 美景 深深 吸引 皇家 园林 典范 湖光山色 美不胜收 首先 映入眼帘 昆明湖 湖水 波光粼粼 湖面 几只 游船 缓缓 留下 涟漪 湖边 仿佛 欢迎 一位 游客 沿着 湖边 漫步 来到 长廊 长廊 宛如 一条 蜿蜒 曲折 精美 彩绘 一幅 讲述 古老 故事 漫步 其中 仿佛 穿越 时空 回到 辉煌 年代 长廊 便是 万寿山 拾级而上 佛香阁 山顶 金碧辉煌 气势恢宏 佛香阁 俯瞰 整个 昆明湖 如同 一面 巨大 镜子 西堤 六桥 宛如 一条 远处 玉泉山 西山 连绵起伏 景色 尽收眼底 下山 来到 石舫 石舫 造型 精美 仿佛 随时 坐在 石舫 微风 拂面 湖水 岸边 心旷神怡 不仅 在于 自然风光 在于 深厚 历史 文化底蕴 每一处 景致 承载 无数 故事 流连忘返,游记|周末|来到|开启|一场|穿越|古今|旅程|踏入|眼前|美景|深深|吸引|皇家|园林|典范|湖光山色|美不胜收|首先|映入眼帘|昆明湖|湖水|波光粼粼|湖面|几只|游船|缓缓|留下|涟漪|湖边|仿佛|欢迎|一位|游客|沿着|湖边|漫步|来到|长廊|长廊|宛如|一条|蜿蜒|曲折|精美|彩绘|一幅|讲述|古老|故事|漫步|其中|仿佛|穿越|时空|回到|辉煌|年代|长廊|便是|万寿山|拾级而上|佛香阁|山顶|金碧辉煌|气势恢宏|佛香阁|俯瞰|整个|昆明湖|如同|一面|巨大|镜子|西堤|六桥|宛如|一条|远处|玉泉山|西山|连绵起伏|景色|尽收眼底|下山|来到|石舫|石舫|造型|精美|仿佛|随时|坐在|石舫|微风|拂面|湖水|岸边|心旷神怡|不仅|在于|自然风光|在于|深厚|历史|文化底蕴|每一处|景致|承载|无数|故事|流连忘返,249,111,214395210,BJ20_02,BJ20_02__214395210
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,132,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,214795267,2025-06-16,5.0,颐和园南如意门是颐和园最南的门，这里有乘船从北京动物园北京展览馆经过万寿寺到颐和园的唯一水路，所以也可以认为这个门也是颐和园最精彩的门。 如今这里变成了北京的热点，由于这个水域对游泳爱好者开放，这里居然被北京生活的老外改变了变成了“北京的塞纳河”，如今这里很热闹，很新潮也很“网红”，这就是北京的颐和园南如意门的新意。,北京,"昆明湖,十七孔桥,颐和园-廓如亭,写秋轩,北京颐和园石舫,西堤(昆明湖路),花神庙,玉带桥,半璧桥,蚕神庙",0,0,15,潜力旅行家,携程,2026-04-21 20:38:53,165,1644,颐和园.csv,2719,2719,2530,159,5,25,如意 乘船 经过 万寿寺 唯一 水路 认为 精彩 如今 变成 热点 由于 水域 爱好者 开放 居然 生活 老外 改变 变成 如今 热闹 网红 如意 新意,如意|乘船|经过|万寿寺|唯一|水路|认为|精彩|如今|变成|热点|由于|水域|爱好者|开放|居然|生活|老外|改变|变成|如今|热闹|网红|如意|新意,249,112,214795267,BJ20_02,BJ20_02__214795267
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,153,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,218089663,2025-07-26,5.0,很大的园林，如果都逛完，要走好几个小时。风景很不错。,福建,,0,0,5,,携程,2026-04-21 20:38:38,140,1395,颐和园.csv,2719,2719,2530,26,5,5,很大 园林 好几个 小时 不错,很大|园林|好几个|小时|不错,249,128,218089663,BJ20_02,BJ20_02__218089663
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,166,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,221004918,2025-08-19,5.0,有几个部分在维修，期待下次再来,辽宁,,0,0,0,,携程,2026-04-21 20:38:25,123,1225,颐和园.csv,2719,2719,2530,15,5,5,几个 部分 维修 期待 下次,几个|部分|维修|期待|下次,249,138,221004918,BJ20_02,BJ20_02__221004918
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,167,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,221299919,2025-08-21,4.0,皇家园林，值得一游。苏州街没开，里面无它家饮料,北京,"佛香阁,昆明湖,颐和园-长廊,南湖岛,石桥,玉带桥",0,0,3,,携程,2026-04-21 20:38:24,122,1213,颐和园.csv,2719,2719,2530,23,4,5,皇家 园林 一游 苏州街 饮料,皇家|园林|一游|苏州街|饮料,30,19,221299919,BJ20_02,BJ20_02__221299919
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,194,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,226867117,2025-10-03,5.0,秀才说李导，行程安排紧凑，合理，没有，冤枉路。推荐,河北,,0,0,0,,携程,2026-04-21 20:38:00,97,967,颐和园.csv,2719,2719,2530,25,5,8,秀才 李导 行程 安排 紧凑 合理 冤枉路 推荐,秀才|李导|行程|安排|紧凑|合理|冤枉路|推荐,249,164,226867117,BJ20_02,BJ20_02__226867117
experiment2_lda_ready,1601,300,300,rating_stratified_time_sorted_evenly_spaced,5,5,195,BJ20_02,2,皇家文化类,颐和园,5A,颐和园,5A,primary,requested_target_valid,75597,颐和园,227071244,2025-10-04,3.0,三颗星给到导游讲解员，本来只想给一星的。没有互动，发的小卡片不知道做什么用的，跟普通的讲解团没有区别。,北京,,0,0,1,,携程,2026-04-21 20:37:59,95,945,颐和园.csv,2719,2719,2530,51,3,11,导游 讲解员 本来 只想 互动 卡片 知道 什么 普通 讲解 区别,导游|讲解员|本来|只想|互动|卡片|知道|什么|普通|讲解|区别,9,5,227071244,BJ20_02,BJ20_02__227071244
